PER1,PER2,PER3,PER4,PER5,PER6,PER7,PER8,PER9,PER10,PER11,PER12,PER13
0.021185691,0.02417154,0.016830509,0.029057365,0.020484576,0.020534285,0.019701832,0.01663799,0.01969641,0.021541757,,0,0
0.020071712,0.026178142,0.018360726,0.027193123,0.019121811,0.020126924,0.016094983,0.017882614,0.015100298,0.019869082,,0,0
0.018548216,0.02297599,0.016566056,0.021305539,0.015851626,0.018906795,0.019358549,0.016394673,0.014411784,0.019482843,,0,0
0.019613986,0.024406681,0.017873644,0.017583686,0.017727082,0.018098106,0.016337796,0.017514794,0.016758944,0.019282123,,0,0
0.021489698,0.022823445,0.016920659,0.01444519,0.017260278,0.019110275,0.015031627,0.016862566,0.015604034,0.015888525,,0,0
0.019507493,0.021440598,0.016663741,0.015652437,0.017926612,0.018134429,0.017361371,0.015114783,0.018415516,0.017812208,,0,0
0.018317132,0.019641098,0.015906435,0.010966984,0.01946461,0.017655931,0.011448773,0.017427737,0.011296928,0.017728264,,0,0
0.014888469,0.02024783,0.016085641,0,0.017242083,0.016654494,0,0.01792633,0,0.01839578,,,0
0.017219253,0.021391864,0.015468713,0,0.015150237,0.015117657,0,0.016984275,0,0.019128696,,,0
0.015961901,0.02127841,0.016519888,0,0.014311301,0.009565538,0,0.014830034,0,0.018446763,,,0
0.014681623,0.016289183,0.013523103,0,0.010066807,0,0,0.015279323,0,0.017556207,,,0
0.014205562,0.017605753,0.016319419,0,0,0,0,0.014387867,0,0.019074282,,,0
0.012278482,0.014334505,0.015951621,0,0,0,0,0.015908415,0,0.016811652,,,0
0.013953579,0.015430138,0.015123327,0,0,0,0,0.014799777,0,0.011837661,,,0
0.012149211,0.01216271,0.015364053,0,0,0,0,0.015024387,0,0,,,0
0.011352805,0.005868893,0.012447163,0,0,0,0,0.014467461,0,0,,,0
0.011845531,0,0.011605646,0,0,0,0,0.014497991,0,0,,,0
0.010561765,0,0.011779026,0,0,0,0,0.012465868,0,0,,,0
0.007629227,0,0.013941158,0,0,0,0,0.012441881,0,0,,,0
0.004111838,0,0.013252738,0,0,0,0,0.012599639,0,0,,,0
0,0,0.012453606,0,0,0,0,0.01362473,0,0,,,0
0,0,0.007620493,0,0,0,0,0.012053447,0,0,,,0
0,0,0,0,0,0,0,0.008147402,0,0,,,0
0,0,0,0,,,0,0,0,0,,,0
0,0,0,0,,,0,0,,0,,,0
0,0,0,0,,,,0,,0,,,0
0,0,0,0,,,,0,,0,,,0
0,,0,0,,,,0,,0,,,0
0,,0,0,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
0,,0,,,,,0,,0,,,0
,,0,,,,,0,,,,,0
,,0,,,,,0,,,,,0
,,0,,,,,0,,,,,0
,,0,,,,,0,,,,,
,,0,,,,,0,,,,,
,,0,,,,,0,,,,,
,,,,,,,0,,,,,
